"file","lhs","op","rhs","beta","beta.std","se","z","pval","level"
"sub1","X1","~","X1lag",0.105302627397454,0.105321975214961,0.0571900075333408,1.84161499110766,0.0655314866586059,"group"
"sub1","X2","~","X2lag",0.272642185893749,0.272432941150178,0.0520997011552301,5.22906917140406,1.70365619389656e-07,"group"
"sub1","X3","~","X3lag",0.125682223668482,0.126706212260968,0.0551115541876096,2.29908617401058,0.0215000464480091,"group"
"sub1","X4","~","X4lag",0.184256961393228,0.184557334206645,0.0529303216934651,3.48679789394575,0.000488840626084119,"group"
"sub1","X5","~","X5lag",0.119953048905893,0.120596093314497,0.0523632385507421,2.30306788984479,0.0212750236209616,"group"
"sub1","X6","~","X6lag",0.175599322854216,0.175652733185502,0.0497235700819346,3.53258490683715,0.000411518055894344,"group"
"sub1","X7","~","X7lag",0.12783075621253,0.127941767032413,0.0516279527325301,2.47814914713437,0.0132065926639737,"group"
"sub1","X8","~","X8lag",0.0876122603990928,0.0879192483657645,0.052448196976499,1.67630640201339,0.0936781915715077,"group"
"sub1","X8","~","X7",0.340505831936897,0.340354880046533,0.0477138890642864,7.1332454075995,9.80326930744013e-13,"group"
"sub1","X7","~","X6",0.336775870679004,0.337184929847716,0.0469871738608276,7.17610577827966,7.17204073907851e-13,"group"
"sub1","X3","~","X2",0.351293361190784,0.35427267651739,0.0486009125156323,7.28942437867683,3.11306536104894e-13,"group"
"sub1","X4","~","X3",0.247072560284619,0.245785539729673,0.0518295757428246,4.74218698893557,2.11423339457895e-06,"group"
"sub1","X5","~","X4lag",0.31063895018426,0.311524269088468,0.0529482692596981,5.88355905573644,4.01536737193453e-09,"group"
"sub1","X2","~","X1",0.231674820402692,0.231915029547124,0.0526711511523779,4.40307501304069,1.06727242754623e-05,"group"
"sub1","X6","~","X5",0.363817516636438,0.363035701498738,0.043816152658997,8.28543081644102,2.22044604925031e-16,"group"
"sub1","X8","~","X7lag",0.34494376556034,0.345090269620256,0.0548149917174233,6.29554541208782,3.06320968590512e-10,"group"
"sub1","X5","~","X4",0.388783335240365,0.389256804764497,0.0447809757594192,8.69245920088334,0,"group"
"sub1","X7","~","X6lag",0.34106496558736,0.341583098837493,0.0530555421071036,6.43821710742183,1.20885079724076e-10,"group"
"sub1","X3","~","X2lag",0.262051150824268,0.264070781790431,0.0535723184839266,4.92923937704246,8.25503780887971e-07,"group"
"sub1","X4","~","X3lag",0.268582486059505,0.269360279927209,0.0551395935387829,4.88506103581906,1.03396818684764e-06,"group"
"sub1","X6","~","X5lag",0.341459624877279,0.342552418544343,0.051482392576761,6.65377814431589,2.85662604682102e-11,"ind"
"sub10","X1","~","X1lag",0.200038781494248,0.199671949981683,0.0555258003215086,3.59602110776488,0.000323121592672448,"group"
"sub10","X2","~","X2lag",0.129818838953959,0.129878339867443,0.052886237489231,2.45580600990739,0.0140569016030132,"group"
"sub10","X3","~","X3lag",-0.0707564029210599,-0.0706234328406787,0.0549344077031516,-1.28559560016203,0.198584233077971,"group"
"sub10","X4","~","X4lag",0.180999719427775,0.181367259749268,0.0532743181036154,3.4044032135056,0.000663087942130991,"group"
"sub10","X5","~","X5lag",0.248221158902883,0.248312102507551,0.0519310662854368,4.78157142283032,1.73930184499405e-06,"group"
"sub10","X6","~","X6lag",0.259872485059519,0.25914537150986,0.0469918568289152,5.51468677761212,3.49401665378224e-08,"group"
"sub10","X7","~","X7lag",0.220757476730815,0.220802314360343,0.0505599379414782,4.36713974245609,1.25884191790604e-05,"group"
"sub10","X8","~","X8lag",0.179115553549989,0.178843872953893,0.0516260752448787,3.4642159433112,0.000531779436439228,"group"
"sub10","X8","~","X7",0.331521900972894,0.330585956741084,0.0487647300171907,6.77920203033103,1.20841114892301e-11,"group"
"sub10","X7","~","X6",0.376457895436595,0.378021231434553,0.0445457963160467,8.48612580079479,0,"group"
"sub10","X3","~","X2",0.305407856801107,0.305244783551422,0.0505736955956707,6.03564323224091,1.58330726307554e-09,"group"
"sub10","X4","~","X3",0.284531998860617,0.285000563663803,0.0497453002429541,5.72919576868309,1.00907886491086e-08,"group"
"sub10","X5","~","X4lag",0.223486444174299,0.223881714745002,0.0537306272358558,4.16674299673168,3.08982506995736e-05,"group"
