"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","status"
"sub1",118.2074,71,81,4e-04,0.0472,0.0462,0.9421,0.9658,12635.7787,12336.0428,-6087.0214,0.0111,0.1313,0.3055,0.2529,0.3917,0.4501,0.4089,0.3743,"converged normally"
"sub10",116.6524,70,82,4e-04,0.0472,0.0437,0.931,0.9598,12869.4084,12565.972,-6200.986,0.0399,0.2597,0.2323,0.2149,0.257,0.3249,0.4234,0.38,"converged normally"
"sub100",120.7526,70,82,2e-04,0.0492,0.0552,0.9511,0.9715,12254.3076,11950.8712,-5893.4356,0.0318,0.2566,0.3038,0.2938,0.4257,0.4348,0.4831,0.5378,"converged normally"
"sub11",140.8271,70,82,0,0.0582,0.0477,0.9156,0.9508,12605.0454,12301.609,-6068.8045,0.0477,0.215,0.2605,0.2478,0.3807,0.3496,0.3991,0.4545,"converged normally"
"sub12",116.5253,71,81,5e-04,0.0463,0.0553,0.9458,0.9679,12602.8286,12303.0926,-6070.5463,0.0252,0.2269,0.2953,0.227,0.3558,0.3969,0.3719,0.397,"converged normally"
"sub13",118.8506,69,83,2e-04,0.0492,0.0488,0.94,0.9655,12583.8088,12276.672,-6055.336,0.054,0.1943,0.2857,0.3206,0.3472,0.435,0.4008,0.4001,"converged normally"
"sub14",127.6756,71,81,0,0.0517,0.0472,0.9158,0.9502,12898.888,12599.152,-6218.576,0.0487,0.1926,0.2473,0.3225,0.2562,0.3111,0.3242,0.3397,"converged normally"
"sub15",119.8521,69,83,1e-04,0.0496,0.0467,0.9433,0.9674,12472.3269,12165.1901,-5999.595,0.0606,0.1436,0.2428,-0.2219,0.3352,0.3934,0.4325,0.5263,"converged normally"
"sub16",129.8037,69,83,0,0.0543,0.0417,0.943,0.9672,12197.3487,11890.2119,-5862.1059,0.1894,0.268,0.3477,0.3119,0.4607,0.4823,0.4702,0.4556,"converged normally"
"sub17",114.1941,69,83,5e-04,0.0468,0.044,0.9474,0.9697,12519.2879,12212.151,-6023.0755,0.1032,0.2702,0.2572,0.2994,0.2839,0.4149,0.4524,0.3933,"converged normally"
"sub18",109.2211,70,82,0.0019,0.0433,0.0469,0.953,0.9726,12590.8399,12287.4035,-6061.7018,0.042,0.2296,0.3269,0.1716,0.3048,0.3253,0.4602,0.519,"converged normally"
"sub19",116.122,71,81,6e-04,0.0461,0.051,0.9487,0.9697,12536.8964,12237.1605,-6037.5803,0.0525,0.1827,0.3163,0.2674,0.3248,0.4485,0.4621,0.4205,"converged normally"
"sub2",123.1841,71,81,1e-04,0.0496,0.0476,0.9316,0.9595,12729.9381,12430.2022,-6134.1011,0.0653,0.1268,0.2113,0.216,0.4004,0.3644,0.3898,0.3901,"converged normally"
"sub20",135.6023,71,81,0,0.0552,0.0493,0.9264,0.9565,12559.3319,12259.596,-6048.798,0.0596,0.1884,0.2957,0.2725,0.4239,0.4141,0.3949,0.4033,"converged normally"
"sub21",115.3934,69,83,4e-04,0.0474,0.052,0.9493,0.9708,12436.0329,12128.8961,-5981.448,0.0514,0.2023,0.3317,0.2689,0.352,0.4442,0.4272,0.4998,"converged normally"
"sub22",122.6865,70,82,1e-04,0.0502,0.049,0.9481,0.9697,12292.621,11989.1846,-5912.5923,0.0099,0.1531,0.2762,0.2756,0.4797,0.5366,0.4263,0.4573,"converged normally"
"sub23",103.1648,67,85,0.003,0.0425,0.0402,0.9558,0.9753,12569.2547,12254.717,-6042.3585,0.0178,0.3168,0.3227,0.2994,0.3821,0.3586,0.4122,0.3788,"converged normally"
"sub24",137.5678,72,80,0,0.0552,0.047,0.9226,0.9535,12623.7115,12327.676,-6083.838,0.0605,0.1456,0.169,0.2117,0.4027,0.4197,0.4377,0.4864,"converged normally"
"sub25",130.343,70,82,0,0.0537,0.0489,0.9336,0.9613,12489.6811,12186.2447,-6011.1224,0.0856,0.1221,0.2782,0.3103,0.42,0.3973,0.4305,0.486,"converged normally"
"sub26",132.3137,70,82,0,0.0546,0.0599,0.945,0.9679,12097.7579,11794.3215,-5815.1607,0.0073,0.2554,0.2587,0.3227,0.5016,0.4816,0.4829,0.55,"no additional significant paths"
"sub27",117.397,69,83,3e-04,0.0484,0.047,0.9356,0.963,12716.2889,12409.1521,-6121.576,0.0247,0.1223,0.2375,0.21,0.3621,0.3618,0.4215,0.4239,"converged normally"
"sub28",116.4927,71,81,5e-04,0.0463,0.0498,0.9197,0.9525,13069.1648,12769.4289,-6303.7145,0.0071,0.1276,0.2311,0.1916,0.1721,0.2699,0.3807,0.3839,"converged normally"
"sub29",109.9335,69,83,0.0013,0.0445,0.061,0.9564,0.9749,12394.2327,12087.0959,-5960.5479,0.0368,0.1199,0.2915,0.3058,0.4192,0.4612,0.4684,0.5147,"converged normally"
"sub3",114.5448,70,82,6e-04,0.0461,0.0546,0.9445,0.9677,12651.2518,12347.8155,-6091.9077,0.0184,0.2123,0.2775,0.2848,0.3539,0.35,0.3675,0.4672,"converged normally"
"sub30",135.904,71,81,0,0.0553,0.0493,0.9388,0.9638,12240.6058,11940.8699,-5889.435,0.0822,0.1459,0.2788,0.3123,0.3849,0.5519,0.5253,0.4671,"converged normally"
"sub31",118.3051,70,82,3e-04,0.048,0.059,0.9521,0.972,12306.9016,12003.4652,-5919.7326,0.0177,0.2186,0.3427,0.3368,0.3862,0.4811,0.4605,0.4596,"converged normally"
"sub32",115.6845,69,83,4e-04,0.0476,0.0674,0.9492,0.9708,12426.5034,12119.3666,-5976.6833,0.0175,0.2018,0.2279,0.2278,0.4148,0.4579,0.0562,0.3917,"converged normally"
"sub33",132.2249,70,82,0,0.0545,0.0449,0.9351,0.9621,12387.309,12083.8726,-5959.9363,0.1316,0.2303,0.2935,0.2819,0.3895,0.3782,0.5295,0.4987,"converged normally"
"sub34",144.0771,71,81,0,0.0587,0.0474,0.9102,0.9469,12677.8285,12378.0926,-6108.0463,0.0688,0.1698,0.1687,0.2631,0.3571,0.3477,0.4029,0.5188,"no additional significant paths"
"sub35",110.68,70,82,0.0014,0.0441,0.0518,0.9583,0.9757,12352.6975,12049.2611,-5942.6306,0.0096,0.1868,0.2413,0.3791,0.4156,0.4556,0.4493,0.5371,"converged normally"
"sub36",114.8876,70,82,6e-04,0.0463,0.0476,0.9515,0.9717,12438.7236,12135.2872,-5985.6436,0.0252,0.2196,0.2633,0.3049,0.4418,0.4175,0.4424,0.4795,"converged normally"
"sub37",107.1416,70,82,0.0029,0.0421,0.0389,0.9437,0.9672,12887.5342,12584.0979,-6210.0489,0.0098,0.2191,0.2664,0.2232,0.4173,0.4378,0.2074,0.3205,"converged normally"
"sub38",128.6193,70,82,0,0.0529,0.0472,0.9375,0.9635,12422.0819,12118.6456,-5977.3228,0.0571,0.1485,0.2453,0.2701,0.3169,0.4478,0.4831,0.565,"converged normally"
"sub39",128.3761,70,82,0,0.0528,0.0457,0.9325,0.9606,12537.0561,12233.6197,-6034.8099,0.0452,0.2037,0.2734,0.2922,0.3469,0.3826,0.4437,0.4919,"converged normally"
"sub4",114.6554,70,82,6e-04,0.0462,0.0544,0.9514,0.9716,12436.3651,12132.9288,-5984.4644,0.0609,0.1808,0.2855,0.2452,0.3965,0.4473,0.4571,0.4692,"converged normally"
"sub40",126.1998,69,83,0,0.0527,0.0486,0.9371,0.9638,12459.2597,12152.1229,-5993.0614,0.0434,0.248,0.0719,0.0607,0.3499,0.4015,0.4783,0.4562,"converged normally"
"sub41",130.0965,70,82,0,0.0536,0.0467,0.9303,0.9594,12545.6336,12242.1972,-6039.0986,0.0302,0.1925,0.3255,0.2657,0.3834,0.3095,0.4542,0.4981,"converged normally"
"sub42",132.6167,72,80,0,0.0531,0.0461,0.9349,0.9609,12476.8413,12180.8058,-6010.4029,0.0571,0.1853,0.2572,0.2603,0.4292,0.3854,0.4559,0.4569,"converged normally"
"sub43",121.6416,71,81,2e-04,0.0488,0.0551,0.9412,0.9652,12566.9921,12267.2561,-6052.6281,0.0496,0.2459,0.3113,0.2953,0.4167,0.3514,0.3499,0.3801,"converged normally"
"sub44",118.9626,70,82,2e-04,0.0484,0.0472,0.9447,0.9678,12505.5556,12202.1192,-6019.0596,0.0347,0.1111,0.1945,0.281,0.466,0.4954,0.5225,0.2865,"converged normally"
"sub45",124.8424,69,83,0,0.052,0.0458,0.9196,0.9538,12830.3389,12523.2021,-6178.601,0.0298,0.1593,0.1556,0.2289,0.3458,0.3606,0.3612,0.4594,"converged normally"
"sub46",129.2459,70,82,0,0.0532,0.048,0.9197,0.9532,12776.7726,12473.3362,-6154.6681,0.0548,0.1848,0.2184,0.2456,0.3747,0.3173,0.4113,0.3755,"converged normally"
"sub47",125.8966,72,80,1e-04,0.05,0.0505,0.9269,0.9561,12796.0704,12500.0349,-6170.0175,0.0304,0.1206,0.2941,0.2115,0.2945,0.3203,0.3822,0.4397,"no additional significant paths"
"sub48",120.8649,69,83,1e-04,0.0501,0.0569,0.9499,0.9712,12232.5333,11925.3965,-5879.6983,0.0639,0.2389,0.2775,0.3297,0.4353,0.4764,0.5075,0.4863,"no additional significant paths"
"sub49",135.1861,70,82,0,0.0558,0.0455,0.9335,0.9612,12361.387,12057.9506,-5946.9753,0.0484,0.3319,0.3193,0.3208,0.4181,0.4257,0.4236,0.4016,"converged normally"
"sub5",105.3123,70,82,0.0041,0.0411,0.0485,0.9608,0.9771,12464.5692,12161.1328,-5998.5664,0.0256,0.2647,0.3043,0.2784,0.3849,0.3697,0.4764,0.4738,"converged normally"
"sub50",120.3024,71,81,2e-04,0.0482,0.0503,0.9423,0.9658,12572.7776,12273.0416,-6055.5208,0.0459,0.1898,0.176,0.3021,0.4471,0.4578,0.3255,0.4319,"converged normally"
"sub51",118.2521,70,82,3e-04,0.048,0.054,0.9519,0.9719,12307.9073,12004.4709,-5920.2355,0.0153,0.1616,0.3199,0.2927,0.4432,0.5059,0.4686,0.4961,"converged normally"
"sub52",127.951,71,81,0,0.0518,0.0629,0.933,0.9604,12600.4658,12300.7298,-6069.3649,0.0385,0.1494,0.2354,0.2655,0.3613,0.4513,0.4388,0.4277,"no additional significant paths"
"sub53",94.5653,71,81,0.0323,0.0333,0.0515,0.9711,0.9829,12619.6528,12319.9168,-6078.9584,0.0828,0.1914,0.2603,0.2713,0.2935,0.3919,0.4195,0.4743,"converged normally"
"sub54",137.0785,71,81,0,0.0558,0.0501,0.9161,0.9503,12700.8436,12401.1077,-6119.5538,0.0302,0.2184,0.2428,0.284,0.3208,0.3,0.429,0.4204,"no additional significant paths"
"sub55",123.5516,70,82,1e-04,0.0506,0.0508,0.9163,0.9512,12937.1693,12633.733,-6234.8665,0.0335,0.1951,0.258,0.2025,0.3438,0.3782,0.3519,0.229,"no additional significant paths"
"sub56",118.4598,70,82,3e-04,0.0481,0.0538,0.9612,0.9774,11884.581,11581.1446,-5708.5723,0.0267,0.2643,0.3795,0.3666,0.4392,0.5039,0.5483,0.5654,"converged normally"
"sub57",103.9612,70,82,0.0052,0.0403,0.0563,0.9624,0.9781,12460.0263,12156.59,-5996.295,0.0542,0.2213,0.2821,0.2855,0.3741,0.4114,0.4116,0.5206,"converged normally"
"sub58",133.5277,70,82,0,0.0551,0.0495,0.9251,0.9563,12591.3547,12287.9183,-6061.9592,0.0146,0.1996,0.2143,0.2791,0.3992,0.3935,0.4459,0.4791,"converged normally"
"sub59",111.0758,70,82,0.0013,0.0443,0.0541,0.9614,0.9775,12188.9814,11885.545,-5860.7725,0.0369,0.2388,0.3204,0.3212,0.493,0.4805,0.3963,0.5275,"converged normally"
"sub6",140.4436,72,80,0,0.0564,0.0498,0.9219,0.9531,12581.1054,12285.07,-6062.535,0.0199,0.1098,0.2563,0.2798,0.3974,0.3812,0.4895,0.4079,"converged normally"
"sub60",115.6142,71,81,7e-04,0.0458,0.0448,0.9387,0.9637,12792.0055,12492.2696,-6165.1348,0.02,0.2418,0.2735,0.2017,0.3271,0.3269,0.3398,0.3958,"converged normally"
"sub61",112.8365,69,83,7e-04,0.0461,0.0468,0.9448,0.9683,12649.9954,12342.8586,-6088.4293,0.0385,0.229,0.2466,0.3152,0.3895,0.3068,0.3945,0.3934,"converged normally"
"sub62",129.3007,69,83,0,0.0541,0.0526,0.925,0.9569,12650.3847,12343.2479,-6088.6239,0.0244,0.0783,0.2538,0.2441,0.3316,0.4049,0.4548,0.4963,"no additional significant paths"
"sub63",115.6443,70,82,5e-04,0.0467,0.0571,0.9437,0.9672,12625.0838,12321.6474,-6078.8237,0.0051,0.193,0.1549,0.2019,0.3584,0.4258,0.4587,0.457,"converged normally"
"sub64",115.3089,70,82,5e-04,0.0465,0.0527,0.9411,0.9656,12708.9617,12405.5254,-6120.7627,0.0582,0.2499,0.252,0.2589,0.3235,0.3443,0.3822,0.4098,"converged normally"
